Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
119,161.98000000001502,-8.027600000001256,4188,0.9881324172019958,6.802340507507324,0.20472676949999133,0.125
120,43.05999999998743,-4.429000000001122,3305,0.07870617508888245,7.273940086364746,0.20239468053178816,0.125
121,143.5500000000177,-1.6495000000013038,4171,0.17823906242847443,7.34426736831665,0.19979466882708477,0.125
122,162.29000000000218,1.7847999999988367,4307,0.9969502091407776,8.029268264770508,0.19922150383450507,0.5
123,174.82000000000855,5.475999999998794,3924,0.09127984195947647,8.450736999511719,0.19667112590733316,0.5
124,105.70999999998973,8.75779999999888,4205,0.6179314255714417,8.218530654907227,0.19445417188977224,0.0
125,118.40000000001378,11.557299999998724,3566,0.8258131742477417,8.035469055175781,0.1924210497014332,0.0
126,130.14000000000382,14.448899999998853,4242,0.19134248793125153,9.75005054473877,0.19196377627049394,0.125
127,59.689999999992445,16.979899999998985,3877,4.702585220336914,7.406284332275391,0.18968242000802854,0.0
128,176.5400000000076,19.059799999998937,3352,0.12393753230571747,10.149605751037598,0.1895462062782766,0.25
129,95.36999999999016,21.964299999999074,3329,0.11012105643749237,10.828710556030273,0.186851065711379,0.125
130,97.50999999999075,24.22389999999905,3175,0.08794014155864716,9.930394172668457,0.18514151575446766,0.125
131,147.16000000002143,26.300999999999036,4180,0.49970266222953796,8.207014083862305,0.18442932242181914,0.0
132,72.26999999998345,28.79529999999928,3629,0.4547327160835266,7.904919147491455,0.18169189261343677,0.125
133,90.75999999998913,31.090799999999117,3275,0.09124051779508591,9.268570899963379,0.1810733875259753,0.125
134,159.54000000000278,33.00019999999902,3962,0.15259063243865967,8.865604400634766,0.17848556820183836,0.25
135,60.79999999998925,35.904299999999104,3776,0.12440028786659241,8.98828411102295,0.17699301960965902,0.0
136,161.0200000000282,37.344499999998995,4129,1.0483936071395874,9.96150016784668,0.1760289936799637,0.375
137,239.46000000001914,39.664999999999274,3495,0.12779393792152405,8.46628189086914,0.1755197916773905,0.125
138,155.62000000000592,43.20589999999952,3124,0.12697692215442657,12.938394546508789,0.17514012947974317,0.125
139,242.3000000000103,45.421399999999586,3456,0.08080801367759705,9.851009368896484,0.1735286233192405,0.375
140,114.77999999999797,49.519299999999646,2713,0.15751653909683228,7.495063781738281,0.1704141870405836,0.375
141,141.72000000000943,51.968799999999675,3594,0.1239837259054184,11.653153419494629,0.17021730308304134,0.125
